Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
322,Terance Mann,28,LAC,SG,37,12,19.8,2.4,5.3,.446,0.7,2.0,.347,1.6,3.2,.508,.513,0.6,0.9,.719,0.9,2.0,2.9,1.6,0.8,0.3,0.7,1.8,6.0,
323,Dean Wade,28,CLE,PF,35,26,22.8,2.1,5.1,.408,1.5,4.3,.349,0.6,0.9,.700,.553,0.4,0.7,.520,1.0,4.1,5.1,1.6,0.9,0.5,0.3,1.9,6.0,
324,James Wiseman,23,IND,C,1,0,5.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,
325,Javonte Green,31,NOP,SG,46,17,22.1,2.0,4.5,.447,0.8,2.1,.371,1.2,2.4,.514,.534,1.1,1.4,.758,1.1,2.5,3.6,0.9,1.1,0.6,0.6,1.5,5.9,
326,Talen Horton-Tucker,24,CHI,SG,40,0,11.5,2.1,4.6,.457,0.8,2.0,.383,1.3,2.6,.515,.541,0.9,1.2,.729,0.4,1.4,1.7,1.3,0.4,0.2,0.7,1.0,5.9,
327,Jonathan Isaac,27,ORL,PF,47,0,16.5,2.1,5.2,.402,0.6,2.5,.246,1.5,2.7,.547,.461,1.1,1.6,.667,1.9,3.0,4.8,0.5,0.8,1.3,0.4,1.4,5.9,
328,Marcus Sasser,24,DET,PG,41,0,14.2,2.2,4.9,.453,0.9,2.5,.340,1.4,2.4,.571,.540,0.6,0.6,.885,0.3,0.9,1.2,2.3,0.7,0.1,1.0,1.3,5.9,
329,Jamal Shead,22,TOR,PG,46,1,17.2,2.3,5.4,.419,0.8,2.3,.352,1.4,3.0,.471,.496,0.5,0.7,.727,0.3,0.9,1.2,3.6,0.6,0.1,1.5,1.9,5.9,
330,Jaylin Williams,22,OKC,PF,23,5,17.1,2.1,5.4,.392,1.2,3.7,.314,1.0,1.7,.564,.500,0.4,0.4,1.000,1.4,4.3,5.7,2.4,0.4,0.7,0.7,1.8,5.9,
331,Kris Dunn,30,LAC,PG,44,29,22.5,2.4,5.8,.410,0.9,3.0,.293,1.5,2.8,.537,.486,0.2,0.3,.500,0.7,2.6,3.3,2.8,1.5,0.3,1.1,2.5,5.8,
332,Isaac Okoro,24,CLE,SG,28,16,19.7,2.0,4.7,.427,1.1,2.8,.397,0.9,1.9,.472,.546,0.6,0.9,.720,0.8,1.3,2.1,1.6,0.7,0.4,0.4,2.0,5.8,
333,Ben Sheppard,23,IND,SG,36,8,20.4,2.1,5.0,.420,1.3,3.5,.360,0.9,1.6,.554,.544,0.3,0.4,.846,0.7,1.9,2.6,1.3,0.6,0.3,0.3,2.3,5.8,
334,Keaton Wallace,25,ATL,PG,24,3,17.3,2.2,5.1,.423,1.0,2.7,.354,1.2,2.4,.500,.516,0.5,0.5,1.000,0.2,1.3,1.5,2.3,0.9,0.3,1.2,1.3,5.8,
335,Drew Eubanks,27,2TM,C,39,4,15.1,2.3,3.8,.611,0.1,0.1,.600,2.3,3.7,.611,.621,0.9,1.5,.632,1.1,3.4,4.5,1.2,0.3,0.8,0.8,1.2,5.7,
336,Drew Eubanks,27,UTA,C,37,4,15.4,2.4,3.9,.607,0.1,0.1,.600,2.3,3.8,.607,.617,1.0,1.5,.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8,
337,Drew Eubanks,27,LAC,C,2,0,10.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,3.0,
338,Alec Burks,33,MIA,SG,26,0,16.2,1.8,4.3,.411,1.4,3.2,.429,0.4,1.1,.357,.571,0.8,1.0,.808,0.3,1.8,2.1,1.1,0.6,0.2,0.3,0.7,5.7,
339,Alex Caruso,30,OKC,SG,30,0,19.0,2.2,5.6,.395,1.0,3.3,.296,1.2,2.3,.536,.482,0.3,0.4,.750,0.7,2.1,2.8,2.5,1.8,0.5,0.6,1.9,5.7,
340,Rob Dillingham,20,MIN,PG,27,0,11.6,2.4,4.9,.489,0.8,1.9,.423,1.6,2.9,.532,.573,0.1,0.3,.429,0.2,0.9,1.1,2.3,0.3,0.0,1.3,1.0,5.7,
341,Quenton Jackson,26,IND,PG,18,7,14.1,2.2,4.2,.513,0.5,1.3,.375,1.7,2.9,.577,.572,0.8,1.2,.714,0.6,0.9,1.5,1.7,0.5,0.3,0.6,1.8,5.7,
342,Isaiah Stewart,23,DET,C,47,3,20.2,2.3,4.3,.529,0.2,0.7,.265,2.1,3.6,.582,.551,0.9,1.1,.820,2.0,3.8,5.8,1.7,0.4,1.3,0.9,2.4,5.7,
343,Robert Williams,27,POR,C,18,3,17.7,2.4,3.8,.632,0.1,0.2,.333,2.3,3.6,.646,.640,0.8,0.9,.882,1.8,4.2,6.0,1.1,0.6,1.7,0.9,1.6,5.7,
344,Jamison Battle,23,TOR,SF,36,0,12.7,1.9,4.1,.470,1.3,3.1,.429,0.6,1.0,.595,.631,0.3,0.4,.857,0.6,1.3,1.8,0.9,0.1,0.1,0.3,1.1,5.6,
345,Seth Curry,34,CHO,SG,42,8,13.8,2.1,4.4,.475,1.1,2.3,.464,1.0,2.0,.488,.598,0.4,0.4,.889,0.4,1.1,1.5,0.6,0.4,0.1,0.4,0.9,5.6,
346,Kenrich Williams,30,OKC,PF,39,1,14.4,2.2,4.5,.486,0.8,2.2,.356,1.4,2.3,.611,.573,0.4,0.4,.882,0.9,2.4,3.3,1.1,0.6,0.1,0.6,1.6,5.6,
347,Jaxson Hayes,24,LAL,C,28,7,17.4,2.2,3.3,.663,0.0,0.1,.000,2.2,3.2,.678,.663,1.2,1.6,.750,1.3,2.7,4.0,1.0,0.5,0.9,0.7,2.1,5.5,
348,Kevin Love,36,MIA,PF,19,6,10.9,1.8,5.2,.354,1.1,3.1,.362,0.7,2.2,.341,.460,0.7,1.0,.684,0.9,3.2,4.1,1.0,0.7,0.1,0.7,0.9,5.5,
349,Jeremiah Robinson-Earl,24,NOP,PF,42,6,17.9,2.1,4.8,.441,0.7,2.2,.301,1.5,2.6,.560,.510,0.6,0.7,.862,1.7,3.0,4.7,1.2,0.7,0.1,0.7,1.3,5.5,
350,Lindy Waters III,27,GSW,SG,38,9,17.2,2.0,5.4,.371,1.3,3.9,.331,0.7,1.5,.474,.490,0.2,0.3,.727,0.4,2.1,2.6,1.1,0.6,0.3,0.4,1.4,5.5,
351,DaQuan Jeffries,27,CHO,SG,18,1,18.1,2.0,4.7,.424,0.9,2.7,.354,1.1,2.1,.514,.524,0.4,0.5,.889,0.9,2.0,2.9,1.2,0.7,0.4,0.6,2.0,5.4,
352,Gabe Vincent,28,LAL,PG,42,5,20.3,2.0,5.0,.409,1.2,3.4,.354,0.8,1.5,.531,.531,0.1,0.2,.500,0.3,1.0,1.3,1.3,0.7,0.2,0.6,2.1,5.4,
353,Kyle Anderson,31,GSW,PF,36,3,15.0,2.1,4.7,.450,0.5,1.4,.365,1.6,3.3,.487,.506,0.5,0.8,.667,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,5.3,
